feature,importance
productos.MAX(ventas.plan_precios_cuidados),8.723497372587825e-08
"LAG(cust_request_qty, clientes.first_ventas_time)",7.547375973942701e-08
"LAG(cust_request_qty, productos.first_ventas_time)",7.409145453071027e-08
productos.STD(ventas.plan_precios_cuidados),5.910655169554971e-08
productos.MEAN(ventas.plan_precios_cuidados),4.716526413493308e-08
plan_precios_cuidados,4.373609485334515e-08
productos.MEDIAN(ventas.cust_request_qty),2.1239889755579618e-09
productos.MEDIAN(ventas.cust_request_tn),7.699324262524336e-10
productos.MEDIAN(ventas.tn),7.833606920103814e-11
"LAG(plan_precios_cuidados, periodo)",7.533031475697718e-14
"LAG(plan_precios_cuidados, productos.first_ventas_time)",3.188443123695684e-14
"LAG(plan_precios_cuidados, clientes.first_ventas_time)",1.6387215992471638e-14
TIME_SINCE_PREVIOUS(periodo),3.136822213870468e-22
clientes.MEDIAN(ventas.stock_final),0.0
clientes.MEDIAN(ventas.plan_precios_cuidados),0.0
clientes.MIN(ventas.cust_request_qty),0.0
clientes.MONTH(first_ventas_time),0.0
clientes.MIN(ventas.plan_precios_cuidados),0.0
clientes.MIN(ventas.cust_request_tn),0.0
clientes.MIN(ventas.tn),0.0
clientes.N_UNIQUE_DAYS(ventas.periodo),0.0
clientes.YEAR(first_ventas_time),0.0
clientes.TIME_SINCE_PREVIOUS(first_ventas_time),0.0
clientes.TIME_SINCE(first_ventas_time),0.0
productos.MIN(ventas.cust_request_qty),0.0
productos.MIN(ventas.plan_precios_cuidados),0.0
productos.N_UNIQUE_DAYS(ventas.periodo),0.0
productos.MEDIAN(ventas.plan_precios_cuidados),0.0
productos.MEDIAN(ventas.stock_final),0.0
productos.NUM_CONSECUTIVE_GREATER_MEAN(ventas.sku_size),0.0
productos.MIN(ventas.cust_request_tn),0.0
productos.MIN(ventas.tn),0.0
productos.MONTH(first_ventas_time),0.0
productos.YEAR(first_ventas_time),0.0
productos.TIME_SINCE(first_ventas_time),0.0
productos.TIME_SINCE_PREVIOUS(first_ventas_time),0.0
productos.STD(ventas.sku_size),0.0
