product_id,mae_cv
20001,9999
20002,9999
20003,9999
20004,9999
20005,9999
20006,9999
20007,9999
20008,9999
20009,9999
20010,9999
20011,9999
20012,9999
20013,9999
20014,9999
20015,9999
20016,9999
20017,9999
20018,9999
20019,9999
20020,9999
20021,9999
20022,9999
20023,9999
20024,9999
20025,9999
20026,9999
20027,9999
20028,9999
20029,9999
20030,9999
20031,9999
20032,9999
20033,9999
20035,9999
20037,9999
20038,9999
20039,9999
20041,9999
20042,9999
20043,9999
20044,9999
20045,9999
20046,9999
20047,9999
20049,9999
20050,9999
20051,9999
20052,9999
20053,9999
20054,9999
20055,9999
20056,9999
20057,9999
20058,9999
20059,9999
20061,9999
20062,9999
20063,9999
20065,9999
20066,9999
20067,9999
20068,9999
20069,9999
20070,9999
20071,9999
20072,9999
20073,9999
20074,9999
20075,9999
20076,9999
20077,9999
20079,9999
20080,9999
20081,9999
20082,9999
20084,9999
20085,9999
20086,9999
20087,9999
20089,9999
20090,9999
20091,9999
20092,9999
20093,9999
20094,9999
20095,9999
20096,9999
20097,9999
20099,9999
20100,9999
20101,9999
20102,9999
20103,9999
20106,9999
20107,9999
20108,9999
20109,9999
20111,9999
20112,9999
20114,9999
20116,9999
20117,9999
20118,9999
20119,9999
20120,9999
20121,9999
20122,9999
20123,9999
20124,9999
20125,9999
20126,9999
20127,9999
20129,9999
20130,9999
20132,9999
20133,9999
20134,9999
20135,9999
20137,9999
20138,9999
20139,9999
20140,9999
20142,9999
20143,9999
20144,9999
20145,9999
20146,9999
20148,9999
20150,9999
20151,9999
20152,9999
20153,9999
20155,9999
20157,9999
20158,9999
20159,9999
20160,9999
20161,9999
20162,9999
20164,9999
20166,9999
20167,9999
20168,9999
20170,9999
20174,9999
20175,9999
20176,9999
20177,9999
20179,9999
20180,9999
20181,9999
20182,9999
20183,9999
20184,9999
20187,9999
20188,9999
20189,9999
20192,9999
20193,9999
20196,9999
20197,9999
20198,9999
20200,9999
20201,9999
20202,9999
20203,9999
20205,9999
20206,9999
20207,9999
20208,9999
20209,9999
20210,9999
20211,9999
20212,9999
20213,9999
20215,9999
20216,9999
20218,9999
20219,9999
20220,9999
20222,9999
20224,9999
20225,9999
20226,9999
20227,9999
20228,9999
20230,9999
20231,9999
20232,9999
20233,9999
20234,9999
20235,9999
20236,9999
20237,9999
20238,9999
20239,9999
20240,9999
20241,9999
20242,9999
20244,9999
20246,9999
20249,9999
20251,9999
20252,9999
20253,9999
20254,9999
20255,9999
20256,9999
20257,9999
20259,9999
20261,9999
20262,9999
20263,9999
20264,9999
20265,9999
20266,9999
20267,9999
20268,9999
20269,9999
20270,9999
20271,9999
20272,9999
20273,9999
20275,9999
20276,9999
20277,9999
20278,9999
20280,9999
20281,9999
20282,9999
20283,9999
20284,9999
20285,9999
20286,9999
20288,9999
20289,9999
20290,9999
20291,9999
20292,9999
20295,9999
20296,9999
20297,9999
20298,9999
20299,9999
20300,9999
20301,9999
20302,9999
20303,9999
20304,9999
20305,9999
20306,9999
20307,9999
20309,9999
20310,9999
20311,9999
20313,9999
20314,9999
20315,9999
20316,9999
20317,9999
20319,9999
20320,9999
20321,9999
20322,9999
20323,9999
20324,9999
20325,9999
20326,9999
20327,9999
20328,9999
20329,9999
20330,9999
20332,9999
20334,9999
20335,9999
20336,9999
20337,9999
20338,9999
20340,9999
20341,9999
20342,9999
20343,9999
20344,9999
20346,9999
20348,9999
20349,9999
20350,9999
20351,9999
20352,9999
20353,9999
20354,9999
20355,9999
20356,9999
20357,9999
20358,9999
20359,9999
20361,9999
20362,9999
20364,9999
20365,9999
20366,9999
20367,9999
20368,9999
20372,9999
20375,9999
20377,9999
20378,9999
20379,9999
20380,9999
20381,9999
20382,9999
20383,9999
20384,9999
20385,9999
20386,9999
20387,9999
20388,9999
20389,9999
20390,9999
20395,9999
20396,9999
20398,9999
20400,9999
20401,9999
20402,9999
20403,9999
20404,9999
20406,9999
20407,9999
20408,9999
20409,9999
20410,9999
20411,9999
20414,9999
20415,9999
20416,9999
20417,9999
20418,9999
20419,9999
20421,9999
20422,9999
20424,9999
20426,9999
20428,9999
20429,9999
20432,9999
20433,9999
20434,9999
20438,9999
20440,9999
20442,9999
20443,9999
20447,9999
20449,9999
20450,9999
20453,9999
20456,9999
20458,9999
20459,9999
20460,9999
20463,9999
20464,9999
20465,9999
20466,9999
20469,9999
20470,9999
20473,9999
20474,9999
20476,9999
20477,9999
20478,9999
20479,9999
20480,9999
20481,9999
20482,9999
20483,9999
20484,9999
20488,9999
20490,9999
20491,9999
20495,9999
20496,9999
20497,9999
20500,9999
