Producto 20061: MAEs - LGBM=31.4500, Reg=17.1515, ARIMA=32.7966, AutoGluon=inf, XGB=inf
Producto 20062: MAEs - LGBM=34.5255, Reg=24.3615, ARIMA=11.9711, AutoGluon=inf, XGB=inf
Producto 20063: MAEs - LGBM=26.0908, Reg=20.4283, ARIMA=27.2105, AutoGluon=inf, XGB=inf
Producto 20065: MAEs - LGBM=59.8820, Reg=40.4185, ARIMA=50.0580, AutoGluon=inf, XGB=inf
Producto 20066: MAEs - LGBM=10.7213, Reg=2.4566, ARIMA=9.6022, AutoGluon=inf, XGB=inf
Producto 20067: MAEs - LGBM=47.5079, Reg=37.0493, ARIMA=22.5371, AutoGluon=inf, XGB=inf
Producto 20068: MAEs - LGBM=36.0954, Reg=29.8193, ARIMA=16.6692, AutoGluon=inf, XGB=inf
Producto 20069: MAEs - LGBM=4.2008, Reg=9.3962, ARIMA=10.0914, AutoGluon=inf, XGB=inf
Producto 20070: MAEs - LGBM=48.7515, Reg=39.9372, ARIMA=49.7351, AutoGluon=inf, XGB=inf
Producto 20071: MAEs - LGBM=19.4780, Reg=12.0944, ARIMA=31.3038, AutoGluon=inf, XGB=inf
Producto 20072: MAEs - LGBM=92.6593, Reg=89.1703, ARIMA=61.4293, AutoGluon=inf, XGB=inf
Producto 20073: MAEs - LGBM=27.1772, Reg=24.3980, ARIMA=12.1962, AutoGluon=inf, XGB=inf
Producto 20074: MAEs - LGBM=24.9409, Reg=11.0013, ARIMA=8.4104, AutoGluon=inf, XGB=inf
Producto 20075: MAEs - LGBM=19.9813, Reg=10.7480, ARIMA=14.7694, AutoGluon=inf, XGB=inf
Producto 20076: MAEs - LGBM=36.2421, Reg=40.9399, ARIMA=37.5505, AutoGluon=inf, XGB=inf
Producto 20077: MAEs - LGBM=101.4876, Reg=73.7531, ARIMA=61.0553, AutoGluon=inf, XGB=inf
Producto 20079: MAEs - LGBM=90.9190, Reg=73.1160, ARIMA=23.8909, AutoGluon=inf, XGB=inf
Producto 20080: MAEs - LGBM=95.9919, Reg=88.0552, ARIMA=100.1874, AutoGluon=inf, XGB=inf
Producto 20081: MAEs - LGBM=8.6671, Reg=12.0537, ARIMA=0.1108, AutoGluon=inf, XGB=inf
Producto 20082: MAEs - LGBM=17.2597, Reg=2.4893, ARIMA=13.8329, AutoGluon=inf, XGB=inf
Producto 20084: MAEs - LGBM=5.4641, Reg=45.4033, ARIMA=54.2250, AutoGluon=inf, XGB=inf
Producto 20085: MAEs - LGBM=42.1259, Reg=46.7850, ARIMA=37.0601, AutoGluon=inf, XGB=inf
Producto 20086: MAEs - LGBM=44.1059, Reg=31.8696, ARIMA=13.2929, AutoGluon=inf, XGB=inf
Producto 20087: MAEs - LGBM=21.9953, Reg=6.6327, ARIMA=5.5907, AutoGluon=inf, XGB=inf
Producto 20089: MAEs - LGBM=82.6358, Reg=106.2627, ARIMA=inf, AutoGluon=inf, XGB=inf
Producto 20090: MAEs - LGBM=56.6328, Reg=19.1924, ARIMA=34.7824, AutoGluon=inf, XGB=inf
Producto 20091: MAEs - LGBM=10.7331, Reg=9.7270, ARIMA=9.8399, AutoGluon=inf, XGB=inf
Producto 20092: MAEs - LGBM=41.3799, Reg=32.0563, ARIMA=20.3367, AutoGluon=inf, XGB=inf
Producto 20093: MAEs - LGBM=18.3725, Reg=22.1680, ARIMA=13.2912, AutoGluon=inf, XGB=inf
Producto 20094: MAEs - LGBM=42.3970, Reg=31.3416, ARIMA=42.6630, AutoGluon=inf, XGB=inf
Producto 20095: MAEs - LGBM=63.7077, Reg=84.7039, ARIMA=66.4727, AutoGluon=inf, XGB=inf
Producto 20096: MAEs - LGBM=49.8133, Reg=34.4019, ARIMA=31.4006, AutoGluon=inf, XGB=inf
Producto 20097: MAEs - LGBM=54.1699, Reg=21.2307, ARIMA=1.4852, AutoGluon=inf, XGB=inf
Producto 20099: MAEs - LGBM=35.1632, Reg=28.8864, ARIMA=8.7504, AutoGluon=inf, XGB=inf
Producto 20100: MAEs - LGBM=101.5703, Reg=121.1697, ARIMA=68.3433, AutoGluon=inf, XGB=inf
Producto 20101: MAEs - LGBM=12.9159, Reg=15.8209, ARIMA=11.2816, AutoGluon=inf, XGB=inf
Producto 20102: MAEs - LGBM=85.1280, Reg=62.0585, ARIMA=48.8011, AutoGluon=inf, XGB=inf
Producto 20103: MAEs - LGBM=20.3800, Reg=7.3784, ARIMA=13.4295, AutoGluon=inf, XGB=inf
Producto 20106: MAEs - LGBM=4.8251, Reg=4.8712, ARIMA=2.4423, AutoGluon=inf, XGB=inf
Producto 20107: MAEs - LGBM=0.8611, Reg=19.6866, ARIMA=1.8441, AutoGluon=inf, XGB=inf
Producto 20108: MAEs - LGBM=25.8405, Reg=39.0411, ARIMA=19.5421, AutoGluon=inf, XGB=inf
Producto 20109: MAEs - LGBM=22.7655, Reg=3.5662, ARIMA=14.0368, AutoGluon=inf, XGB=inf
Producto 20111: MAEs - LGBM=18.8882, Reg=20.3349, ARIMA=23.4047, AutoGluon=inf, XGB=inf
Producto 20112: MAEs - LGBM=37.7224, Reg=35.6473, ARIMA=18.1794, AutoGluon=inf, XGB=inf
Producto 20114: MAEs - LGBM=27.5458, Reg=23.4692, ARIMA=23.2021, AutoGluon=inf, XGB=inf
Producto 20116: MAEs - LGBM=38.8580, Reg=7.0742, ARIMA=0.4088, AutoGluon=inf, XGB=inf
