product_id,mae_regresion,mae_arima,mae_lgbm,mae_xgboost,mae_autogluon
20001,183.99589632825865,inf,205.8349530728834,inf,inf
20002,228.17936527881037,inf,278.2545146342375,inf,inf
20003,186.53191703634857,inf,149.7599049333347,inf,inf
20004,128.00764592346724,inf,116.03265580292368,inf,inf
20005,208.54742697055528,inf,195.40704858079562,inf,inf
20006,184.2853372186818,inf,193.07790623500279,inf,inf
20007,238.78153000767097,inf,227.59776223493304,inf,inf
20008,168.7670406850771,inf,176.7887115307617,inf,inf
20009,149.607084212545,inf,170.0669745870536,inf,inf
20010,139.5059888322417,inf,90.97875721744458,inf,inf
20011,76.15248446096646,inf,85.99441217947825,inf,inf
20012,245.74824844397244,inf,240.01540703717913,inf,inf
20013,83.49018126394051,inf,84.00938466081892,inf,inf
20014,62.53221591048564,inf,59.17093983072086,inf,inf
20015,82.75099294624418,inf,70.90949433519013,inf,inf
20016,152.3075215613382,inf,123.40867212088452,inf,inf
20017,129.72582686227656,inf,139.96763503029337,inf,inf
20018,139.10179811205512,inf,145.6854282233538,inf,inf
20019,149.2455242234614,inf,97.25285074036891,inf,inf
20020,83.2303995819319,inf,80.86105004080635,inf,inf
20021,139.41168140113288,inf,93.95818141853178,inf,inf
20022,71.77389540066092,inf,71.44970083327313,inf,inf
20023,60.320840408921924,inf,52.568810512172156,inf,inf
20024,110.47191226765798,inf,93.95801630022322,inf,inf
20025,63.91703524163568,inf,54.040126678491724,inf,inf
20026,53.88059932023368,inf,53.64574733027244,inf,inf
20027,32.74385528648138,inf,32.21688108901666,inf,inf
20028,77.60895758364315,inf,74.7233884294533,inf,inf
20029,88.4754013533368,inf,100.11825285705568,inf,inf
20030,202.0698634035522,inf,197.5610012804304,inf,inf
20031,105.97559647636747,inf,95.44605909070074,inf,inf
20033,77.33154958488227,inf,58.23133250023666,inf,inf
20035,66.57564852599275,inf,45.80347460893902,inf,inf
20037,34.781460792175615,inf,58.02553558088031,inf,inf
20038,29.90897612940346,inf,37.47253902876874,inf,inf
20039,47.619089137310425,inf,51.69441975026655,inf,inf
20041,78.97746159674277,inf,66.41567175888373,inf,inf
20042,38.852516546291376,inf,37.01223358392209,inf,inf
20043,82.05339069215786,inf,66.57830803920199,inf,inf
20044,44.307272935917844,inf,42.963465979875835,inf,inf
20045,47.8483993175783,inf,41.00351175808655,inf,inf
20046,48.850698808933714,inf,46.904184306266934,inf,inf
20047,51.05078323656105,inf,52.822448935845834,inf,inf
20049,37.58278799048579,inf,36.001231548941476,inf,inf
20050,50.037811830412465,inf,36.01122827362683,inf,inf
20051,39.91876825632854,inf,36.67725108257566,inf,inf
20052,66.11755656222341,inf,60.18658132088798,inf,inf
20053,20.57458408685905,inf,20.72086839521135,inf,inf
20054,27.16025190358175,inf,27.334814648767587,inf,inf
20055,76.8624739390453,inf,75.13327128461565,inf,inf
20056,79.66016504219033,inf,70.8108379861855,inf,inf
20057,27.130108447512832,inf,27.331231897794765,inf,inf
20058,23.306896969375117,inf,23.103288753774216,inf,inf
20059,25.20854783324482,inf,25.859210086632547,inf,inf
20061,19.87839039653036,inf,19.847992238470585,inf,inf
20062,43.694347917035444,inf,46.083012689165386,inf,inf
20063,22.605043832831768,inf,20.506092765801878,inf,inf
20065,24.738828197026017,inf,28.011429125985906,inf,inf
20066,25.923431348026195,inf,26.31881031029526,inf,inf
20067,52.225391626541544,inf,54.21721452210718,inf,inf
20068,26.517090110048958,inf,27.604006795479904,inf,inf
20069,31.642773478491772,inf,31.637414630450817,inf,inf
20070,22.089860824924763,inf,21.92317900090431,inf,inf
20071,32.069053385554966,inf,33.194213200119954,inf,inf
20072,51.727871338289965,inf,49.38921039088659,inf,inf
20073,23.984425205936173,inf,23.509032351597376,inf,inf
20074,34.071612805511336,inf,37.79996637442452,inf,inf
20075,26.441215880981883,inf,26.997702846869647,inf,inf
20076,21.853470308019123,inf,21.36976606716857,inf,inf
20077,36.1817583457249,inf,46.640198143354155,inf,inf
20079,64.96376660883932,inf,66.81865873818535,inf,inf
20080,30.913152434059125,inf,31.21661168610242,inf,inf
20081,14.395234182156136,inf,12.577040462970347,inf,inf
20082,36.423786167168245,inf,43.243200407758444,inf,inf
20084,40.72309396117307,inf,46.2997255649265,inf,inf
20086,18.473920015046904,inf,22.31581326503831,inf,inf
20087,37.15220097804921,inf,41.31692261551215,inf,inf
20090,24.118846671977355,inf,40.7259271278537,inf,inf
20091,16.150796403198207,inf,16.095018787717233,inf,inf
20092,27.436293159851314,inf,30.078360306745257,inf,inf
20093,18.224756059479557,inf,17.983150518611986,inf,inf
20094,28.702804229952203,inf,29.30528033718187,inf,inf
20095,34.31830136100785,inf,35.18870472772092,inf,inf
20096,20.41571820764737,inf,26.003358356559907,inf,inf
20097,48.632972804036115,inf,60.9155579347447,inf,inf
